language,script
Aramaic (Neo-),ܐܬܘܪܝܐ;(ātûrāyâ);ܣܘܪܬ;(sûret)
Aranese,Aranés
Arapaho,Hinono'eitiit
Arawak,Lokono
Arbëresh,Arbërisht
Archi,Аршаттен чӀат (apšatten č’at)
Argobba,ዓርጎባ (Äynū);አዓርጎባ ኣፍ
Are,Mukawa
Argobba,ዓርጎባ
Arikara,Sáhniš
Aringa,Mukawa
Armenian,Հայերէն (Hayeren) ;Հայերեն լեզու (Hayeren lezou)
Aromanian (Vlach),Armâneaşti
Arrernte,Arrernte angkentye
Arvanitic,αρbε̰ρίσ̈τ (arbërisht)
Asháninka,Asháninka
Ashéninka,Ashéninka
Assamese,অসমীয়া (Ôxômiya)
Assiniboine,Nakoda
(Neo-)Assyrian,ܐܵܬ݂ܘܼܪܵܝܲܐ ܠܸܫܵܢܵܐ;(Lišānā Āshûrāya)
Asturian,Asturianu
Atayal,Atayal
Atikamekw,Atikamekw
Auhelawa,Kurada
Avar,магIарул мацI (ma'arul mats);авар мацӀ (avar maċ)
Avestan,(din dabireh) 𐬛𐬍𐬥 𐬛𐬀𐬠𐬌𐬫𐬭𐬵
Avokaya,Avokaya
Awadhi,अवधी
Awara,Awara
Awing,Mbwe'wi
Awngi,አውጚ
Aymara,aymar aru
Äynu,(äynu) ئهﻳنوُ
Azerbaijani,Azərbaycan dili;Азәрбајҹан дили;آذربايجانجا ديلي
Babine-Witsuwit'en,Babine-Witsuwit'en
Badaga,படகா / ಬಡಗ (badaga)
Bagatha,Bagatha
Bagvalal,къIaваннаб мицци (q'avannab micci)
Bai,Baip‧ngvp‧zix
Baka,Baip‧ngvp‧zix
Balinese,Basa Bali
Balkar (Karachay-Balkar),малкъар/балкъар (malqar/balqar);къарачай-малкъар тил (karačay-malqar til)
Balti,སྦལ་འཐུས་ / بلتی
Baluchi,(baluchi) بلوچی
Bambara,Bamanankan
Bamum,Shüpamom
Baniwa,Tapuya
Bantawa,Bantawa
Barai,Barai
Bari,Karo
Bartangi,Bartangi ziv
Bashkir,башҡорт теле (bašḵort tele)
Basque,euskara
Bassa,ɓasaá
Batak Dairi,Pakpak
Batak Karo,Cakap Karo
Batak Mandailing,Saro Mandailing
Batak Simalungun,Sahap Simalungun
Batak Toba,Batak Toba
Bats,ბაჱბაჼმოტ (bahbãmot’)
Bavarian,Bairisch
Bavarian (Central),Donaubairisch
Bavarian (Northern),Oberpfälzisch
Bavarian (Southern),Alpenbairisch
Beaver,ᑕᓀᖚ / Dane-zaa Záágéʔ
Beja,Badāwīyä;بداوية
Belarusian,Беларуская мова (Bielaruskaja mova)
Beli,Bëlï
Bemba,iciBemba;ciBemba;ichiBemba;chiBemba
Bench,bèntʂ nòn
Bengali,বাংলা (baɛṅlā)
Bezhta,бежкьалас миц
Bhojpuri,भोजपुरी (bʰojpurī)
Biete,Biete
Bikol,Bikol/Bicol
Biloxi,Tanêksąyaa ade
Bima,Nggahi Mbojo
Bislama,Bislama
Bisu/a>,Bisu
Blackfoot,ᑯᖾᖹ (Pikuni);ᖿᐟᖻᐟ (Kainai);ᓱᖽᐧᖿ (Siksika)
Blagar,Blagar
Blin,ብሊን (bi.li.nə)
Bodo,बड़ो (boṛo)
Bokar,Bokar
Bolinao,Binu-Bolinao
Bongo,Bongo
Bora,Bora
Bosnian,bosanski / босански
Botlikh,Буйхалъи мицӏцӏи;(Bujxal'i mic'c'i)
Bouyei,Haasqyaix
Breton,ar brezhoneg;brezhoneg
Budukh,Будад мез (budad mez)
Buginese,ᨅᨔ ᨕᨘᨁᨗ (basa ugi)
Buhid,ᝊᝓᝑᝒᝇ (buhid)
Buhutu,Buhutu
Bulgarian,български (bãlgarski);български език (bãlgarski ezik)
Bundjalung,Yugambeh-Bundjalung
Burmese,ဗမာစကား (bama saka)
Burushaski,(burū́šaskī) بروشسکی
Buryat,буряад хэлэн (burǎad hêlên)
Busa,Bisã
Bushi,Shibushi;Kibushi
Bhutanese,རྫོང་ཁ (dzongkha)
Carrier,ᑐᑊᘁᗕᑋᗸ (Dulkw’ahke)
Catalan,català
Cayuga,Goyogo̱hó:nǫ’
Cebuano,Sinugboanon;Sugboanon
Chagatai,(Jağatāy) جغتای
Chaha,ቸሃ
Chamorro,chamoru
Chechen,Нохчийн мотт (Noxchiin mott)
Cherokee,ᏣᎳᎩ (tsalagi)
Cheyenne,Tsėhesenėstsestotse;Tsisinstsistots
Chichewa,Chicheŵa
Chickasaw,Chikasha
Chinese,中文 (zhōngwén)
Chinese (Cantonese),廣東話 [广东话] (gwóngdōngwá);粵語 [粤语] (yuetyuh)
Chinese (Dungan),хуэйзў йүян;东干语 (dōnggānyǔ)
Chinese (Gan),赣语 (gànyŭ);江西话 (jiāngxī huà)
Chinese (Hakka),客家話 [客家话] (hak7ga1fa5 / hak7ga1wa3);客話 [客话] (hak7fa5 / hak7wa3);土廣東話 [土广东话] (tu3gong3dung1wa3);𠊎話 [𠊎话] (ngai2wa3)
Mandarin Chinese,普通話 [普通话] (pŭtōnghùa);國語 [国语] (gúoyŭ);華語 [华语] (húayŭ)
Chinese (Shanghainese),上海闲话 (Zanhe-ëwo)
Taiwanese,台語 (dai5-ngi2);台灣話 (dai5-uan5-ue7)
Chinese (Teochew),潮州話 (Diojiu Ue)
Xiang,湘语 (xiāngyŭ);湖南话 (húnánhuà)
Chipewyan,Dëne Sųłiné;ᑌᓀᓲᒢᕄᓀ
Choctaw,Chahta Anumpa
Comanche,numu tekwapu
Cornish,Kernewek;Kernowek;Kernuak;Curnoack
Corsican,corsu
Cree,ᓀᐦᐃᔭᐍᐏᐣ (Nēhiyawēwin);ᓀᐦᐃᔭᐤ (Nēhiyaw)
Creek,Maskoki;Mvskokē empunakv
Croatian,Hrvatski
Czech,čeština;český jazyk
Dakota,Dakȟótiyapi - Yankton Dakota;Dakhótiyapi - Santee Dakota
Dangme,adangbɛ
Danish,dansk
Dargwa,дарган мез (dargan mez)
Dari,(dari) درى
Dinka,Thuɔŋjäŋ
Dungan,хуэйзў йүян (xuejzu jyjan);лохуэй (lohuêĭ)
Dutch,Nederlands
Dzongkha (Bhutanese),རྫོང་ཁ (dzongkha)
English (Old) / Anglo-Saxon,Ænglisc
Erzya,эрзянь кель (erzjaņ keļ)
Estonian,eesti keel
Esperanto,Esperanto
Ewe,Eʋegbe
Eyak,I·ya·q
Faroese,Føroyskt
Fijian,Vakaviti
Finnish,suomi;suomen kieli
Flemish,Vlaams
Fon,fɔngbè
French,français
Frisian (North),Noordfreesk (Wiedingharde);Nordfrasch (Mooring/Böökingharde);Nordfriisk (Sylt);Nuurdfresk (Föhr);Nuurdfriisk (Helgoland)
Frisian (West),Frysk
Friulan,furlan;marilenghe
Fula,fulfulde
Ga,Gã
Galician,Galego
Ganda,LùGáànda
Ge'ez,ግዕዝ (gəʿəz)
Genoese,zeneize;zeneisei
Georgian,ქართული (kʻartʻuli);ქართული ენა (kʻartʻuli ena)
German,Deutsch
Godoberi,ГъибдилӀи мицци
Gooniyandi,Guniandi
Greek,ελληνικά (ellēniká)
Cypriot Greek, κυπριακά
Greenlandic,Kalaallisut;Kalaallit oqaasii
Guernsey Norman,Dgèrnésiais
Guarani,Avañe'ẽ
Gujarati,ગુજરાતી (gujarātī)
Gwich'in,Gwich'in
Haida,Xaat Kíl
Haitian Creole,Kreyòl ayisyen
Hän,Häł gołan
Harari,ሃራሪ
Hausa,(ḥawsa) حَوْسَ
Hawaiian,ʻōlelo Hawaiʻi
Hebrew,(ivrit) עברית;עִבְרִית
Herero,Otjiherero
Hindi,हिन्दी (hindī)
Hungarian,magyar;magyar nyelv
Icelandic,Íslenska
Igbo,igbo
Ilokano,ilokano
Indonesian,Bahasa Indonesia
Ingush,гӀалгӀай мотт;ġalġay mott
Inuktitut,ᐃᓄᒃᑎᑐᑦ (inuktitut)
Iñupiaq,Inupiatun
Irish (Gaelic),Gaeilge (na hÉireann);An Ghaeilge
Italian,italiano
Japanese,日本語 (nihongo)
Javanese,baṣa Jawa
Jersey Norman,Jèrriais
Kabardian,къэбэрдеибзэ (ḳêbêrdeibzê)
Kabyle,Taqbaylit;ثاقبايليث
Kadazandusun,Boros Kadazandusun;Boos Kadazandusun
Kaingang,kanhgág
Kannada,ಕನ್ನಡ (kannaḍa)
Kanuri,kanuri
Kapampangan,Kapampangan
Karakalpak,қарақалпақ тили (ḳaraḳalpaḳ tili)
Karelian,Karjalan kieli
Kashmiri,कॉशुर;كٲشُر
Kashubian,kaszëbsczi jãzëk
Kazakh,Қазақ тілі;Qazaq tili;قازاق ٴتىلى
Khakas,Хакас тілі;Khakas tîlî
Khmer,ភាសាខ្មែរ (bhāsā khmɛ̄r)
Khoekhoe,Khoekhoegowab;Nama
Kikuyu,Gĩkũyũ
Kinyarwanda,Ikinyarwanda
Kiribati,taetae ni Kiribati
Kirundi,íkiRǔndi
Komi,коми кыв (komi kyv)
Kongo,Kikongo
Konkani,कोंकणी (kōṅkaṇī);ಕೊಂಕಣಿ (koṅkaṇi)
Korean,한국어 [韓國語] (han-guk-eo)
Kumyk,Къумукъ тил (Qumuq til)
Kurdish,Kurdí;کوردی ;к’öрди
Kven,Kainun kieli
Kwanyama,kuanyama
Kyrgyz,(kyrgyz) قىرعىز;(kyrgyz tili) قىرعىز تىلى
Ladin,Ladin
Ladino,(djudeo-espanyol) ג'ודיאו‮–‬איספאניי
Lahnda,ਲਹਿੰਦੀ (lhĩdī)
Lakota,Lakȟótiyapi
Lao,ພາສາລາວ (pháasaa láo)
Latin,Lingua Latina
Latvian,latviešu valoda
Laz,ლაზური ნენა;Lazuri nena
Lezgian,лезги чӀал (lezgi čʼal)
Limburgish,Lèmburgs
Lingala,lingála
Lithuanian,lietuvių kalba
Livonian,Līvõ kēļ
Lombard,Lombard;Lumbaart
Low German/Low Saxon,Plattdüütsch;Nedderdüütsch;Neddersassisch
Luo,Dholuo
Luxembourgish,Lëtzebuergesch
Maasai/Maa,ɔl Maa
Macedonian,македонски (Makedonski);македонски јазик (makedonski jazik)
Maldivian,ދިވެހި (dhivehi)
Maithili,मैथिली (mɛtʰilī)
Malagasy,Fiteny Malagasy
Malay,Bahasa melayu
Malayalam,മലയാളം (malayāḷam)
Maltese,Malti
Mandinka,Mandingo;لغة مندنكا
Bishnupriya Manipuri,মৈইতৈইলোন
Mansi,Маньси (Man'si)
Manx,Gaelg/Gailck (Vanninagh);Yn Ghaelg;Y Ghailck
Māori,te Reo Māori
Marathi,मराठी (marāṭhī)
Mari/Cheremis,марий йылме (marij jəlme)
Marshallese,Kajin M̧ajeļ;Kajin Majōl
Menominee,Mamaceqtaw
Mirandese,lhéngua mirandesa
Mohawk,Kanien'keha
Moksha,мокшень кяль (mokšeņ kjaļ)
Moldovan,лимба молдовеняскэ (limba moldovenească)
Mongolian,Монгол (Mongol);Монгол хэл (Mongol khel);ᠮᠣᠨᠭᠭᠣᠯ ᠬᠡᠯᠡ (Mongɣol kele)
Montagnais,Innu-Aimun
Nahuatl,nāhuatl;nawatlahtolli
Naskapi,ᓇᔅᑲᐱ (naskapi);Innu Aimun
Nauruan,Ekakairũ Naoero
Navajo,Diné Bizaad;Dinék'ehjí
Occitan,Occitan
Oshiwambo,OshiWambo
Nepali,नेपाली (nēpālī)
Newari,नेपाल भाषा (nepāl bʰāṣā)
Niuean,ko e vagahau Niuē;faka-Niue
Nogai,ногай тили (nogay tili)
Noongar,Nyungaa-wangka
Northern Sotho,Sesotho sa Leboa
Norwegian,norsk
Nyamwezi,kinyamwezi
Nyoro,runyoro
Ojibwe,ᐊᓂᔑᓇᐯᒧᐏᐣ (Anishinaabemowin);ᐅᒋᐺᒧᐎᓐ (Ojibwemowin)
O'odham,O'odham ñiok
Odia,ଓଡ଼ିଆ (ōṛiyā)
Ossetian,ирон ӕвзаг (iron ævzag)
Palauan,tekoi ra Belau
Pali,पालि (pāli)
Papiamento,Papiamentu
Pashto,(paṧto) پښتو
Persian,(fārsī) فارسى
Piedmontese,Piemonteis
Polish,polski;język polski;polszczyzna
Portuguese,português
Brazilian,português brasileiro
Punjabi,ਪੰਜਾਬੀ / ﺏﺎﺠﻨﭘ (panjābi)
Bolivian Quechua,Qhichwa
Raga,Raga
Rapanui,rapanui;pepito ote henua
Rarotongan,Māori Kūki 'Āirani;reo ipukarea
Romanian,limba română;român
Romansh,rumantsch
Romani,रोमानो (romānī)
Rotuman,Faeag Rotuma
Russian,Русский язык (Russkij jazyk)
Ruthenian,Rusyn / Русин
Saami (Inari),anarâškielâ
Sámi (Kildin),Кӣллт са̄мь кӣлл
Sámi (Lule),julevsámegiella
Sámi (North),davvisámegiella;sámegiellaa
Sámi (Pite),bidumsámegiella
Sámi (Skolt),Sääˊmǩiõll;Nuõrttsää’m
Sámi (South),Åarjelsaemien gïele
Sámi (Ter),Са̄мь кӣлл;saa'mekiill
Sámi (Ume),Ubmejensámien giella
Santali,संथाली (sãtʰālī)
Samoan,Gagana Samoa
Sango,Yângâ tî Sängö
Sanskrit,संस्कृतम् (saṃskṛtam);संस्कृता भाषा (saṃskṛtā bhāṣā)
Sardinian,Limba Sarda;sardu
Sark Norman,Sèrtchais;Serquiaise
Scots,Scoats leid;Lallans
Scottish Gaelic,Gàidhlig (na h-Alba);a' Ghàidhlig
Selkup,шӧльӄумыт әты (šöļǩumyt ǝty)
Serbian,српски (srpski);српски језик (srpski jezik)
Shavante,aʼuwẽ mreme
Shawnee,Sawanwa
Shona,chiShona
Shor,Шор тили (Šor tili)
Sicilian,sicilianu
Sidamo,Sidámo 'Afó
Silesian,ślůnsko godka;ślůnski
Sindhi,(sindhī) سنڌي
Sinhala,සිංහල (sĩhala)
Silt'e,ስልጥኘ
Slovak,slovenčina
Slovenian,slovenščina
Somali,af Soomaali
Soninke,soninkanxaane
Sorbian (Lower),dolnoserbski
Sorbian (Upper),hornjoserbsce
Southern Sotho,seSotho
South Slavey,ᑌᓀ ᒐ;Dene-thah;Dené Dháh;Dene Zhatıé
Spanish,español;castellano
Sundanese,Basa Sunda
Svan,ლუშნუ ნინ (lušnu nin)
Swabish,Schwäbisch
Swahili,Kiswahili
Swati,siSwati
Swedish,svenska
Swiss German,Schwyzerdütsch
Sylheti,ꠍꠤꠟꠐꠤ / • ছিলটী
Syriac,(Lishana Suryaya) ܠܫܵܢܵܐ ܣܘܪܝܝܐ
Tabassaran,табасаран чIал (tabasaran čʼal)
Tagalog,Tagalog
Tahitian,te reo tahiti;te reo Māʼohi
Tai Nüa,ᥖᥭᥰᥖᥬᥳᥑᥨᥒᥰ
Tajik,тоҷики;toçikī;تاجيكي
Tamahaq,Tamahaq
Tamasheq,Tafaghist
Tamazight,Tamaziɣt
Tamil,தமிழ் (tamiḻ)
Tatar,татарча;tatar tele;تاتارچا (tatarça)
Telugu,తెలుగు (telugu)
Tetum,Tetun
Thai,ภาษาไทย (paasaa-tai)
Tibetan,བོད་སྐད་ (pö-gay)
Amdo Tibetan,ཨ་མདོ་སྐད
Tigre,ትግረ (tigre);ትግሬ (tigrē);ኻሳ (Xasa)
Tigrinya,ትግርኛ (təgərəña)
Tlingit,Lingít
Tok Pisin,Tok Pisin
Tonga,chiTonga
Tongan,Faka-Tonga;lea fakatonga
Tsez,цез мец (cez mec)
Tsonga,xiTsonga
Tswana,Setswana
Tumbuka,chiTumbuka
Turkish,Türkçe
Turkmen,түркmенче (türkmençe);түркмен дили (türkmen dili)
Tuscarora,Sgarooreh’;Skarù∙rę’
Tuvaluan,Te 'gana Tūvalu
Tuvan,Тыва дыл;Tyva dyl
Twi,twi
Udmurt,удмурт кыл (udmurt kyl)
Ukrainian,Українська (Ukrajins'ka);українська мова (ukrayins'ka mova)
Urdu,(urdū) اردو
Uyghur,ئۇيغۇرچە / Уйғурчә / Uyghurche;ئۇيغۇر تىلى / Уйғур тили / Uyghur tili
Uzbek,أۇزبېك ﺗﻴﻠی o'zbek tili ўзбек тили (o‘zbek tili)
Venda,tshiVenḓa
Venetian,vèneto
Veps,vepsän kel’
Vietnamese,tiếng việt (㗂越)
Võro,võro kiilʼ
Votic,Vadjaa tšeeli
Walloon,walon
Waray-Waray,Wáray-Wáray;Winaray;Lineyte-Samarnon
Welsh,Cymraeg;Y Gymraeg
Wiradjuri,Wirraayjuurray;Wirraaydhuurray
Wolof,Wollof
Xamtanga,ኃምታጛ
Xhosa,isiXhosa
Yagua,Nijyamïï Nikyejaada
Yi,ꆇꉙ
Yiddish,(Yidish) ײִדיש
Yindjibarndi,Indjibandi
Yolngu,Yolŋu matha
Yoruba,Yorùbá
Yupik,Yup'ik/Юпик;Ungazighmiistun (Central Siberian Yupik);Yup'igtun (Central Alaskan Yupik)
Zhuang,Vaƅcueŋƅ;Vahcuengh
Zulu,isiZulu
Zuñi,Shiwi'ma
